Info 0    [14:54:41.931] Starting TS Server
Info 1    [14:54:41.934] Version: 3.6.2
Info 2    [14:54:41.934] Arguments: /usr/local/bin/node /usr/local/bin/tsserver --logFile /Users/simon/github/codes/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/kt/b5x0yl_56h1drdb8xgfmbk_r0000gn/T/6b0891235a072e9a7af84c6eb09c1394/tscancellation*
Info 3    [14:54:41.934] Platform: darwin NodeVersion: 13 CaseSensitive: false
Info 4    [14:54:41.956] Search path: /Users/simon/github/codes/python/files
Info 5    [14:54:41.959] For info: /Users/simon/github/codes/python/files/test.js :: No config files found.
Info 6    [14:54:41.970] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [14:54:43.686] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1715ms
Info 8    [14:54:43.686] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [14:54:43.686] 	Files (6)

Info 10   [14:54:43.686] -----------------------------------------------
Info 11   [14:54:46.664] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [14:54:46.673] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 9ms
Info 13   [14:54:46.673] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 14   [14:54:46.732] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [14:54:46.740] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 7ms
Info 16   [14:54:46.740] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 17   [14:54:46.913] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [14:54:46.917] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 4ms
Info 19   [14:54:46.918] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 20   [14:54:47.18] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [14:54:47.21] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 3ms
Info 22   [14:54:47.22] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 23   [14:54:47.228] getCompletionData: Get current token: 0
Info 24   [14:54:47.228] getCompletionData: Is inside comment: 0
Info 25   [14:54:47.229] getCompletionData: Get previous token 1: 1
Info 26   [14:54:47.229] getCompletionData: Get previous token 2: 0
Info 27   [14:54:47.241] getCompletionData: Semantic work: 12
Info 28   [14:54:47.267] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 24
Info 29   [14:54:47.313] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 30   [14:54:47.321] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 8ms
Info 31   [14:54:47.321] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 32   [14:54:47.337] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [14:54:47.361] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 24ms
